t_Ns,y_Ns
0,1
0.1,0.9
0.2,0.81
0.3,0.729
0.4,0.6561
0.5,0.59049
0.6,0.531441
0.7,0.478297
0.8,0.430467
0.9,0.38742
1,0.348678
1.1,0.313811
1.2,0.28243
1.3,0.254187
1.4,0.228768
1.5,0.205891
1.6,0.185302
1.7,0.166772
1.8,0.150095
1.9,0.135085
2,0.121577
2.1,0.109419
2.2,0.0984771
2.3,0.0886294
2.4,0.0797664
2.5,0.0717898
2.6,0.0646108
2.7,0.0581497
2.8,0.0523348
2.9,0.0471013
3,0.0423912
3.1,0.038152
3.2,0.0343368
3.3,0.0309032
3.4,0.0278128
3.5,0.0250316
3.6,0.0225284
3.7,0.0202756
3.8,0.018248
3.9,0.0164232
4,0.0147809
4.1,0.0133028
4.2,0.0119725
4.3,0.0107753
4.4,0.00969774
4.5,0.00872796
4.6,0.00785517
4.7,0.00706965
4.8,0.00636269
4.9,0.00572642
5,0.00515378
5.1,0.0046384
5.2,0.00417456
5.3,0.0037571
5.4,0.00338139
5.5,0.00304325
5.6,0.00273893
5.7,0.00246504
5.8,0.00221853
5.9,0.00199668
6,0.00179701
6.1,0.00161731
6.2,0.00145558
6.3,0.00131002
6.4,0.00117902
6.5,0.00106112
6.6,0.000955005
6.7,0.000859505
6.8,0.000773554
6.9,0.000696199
7,0.000626579
7.1,0.000563921
7.2,0.000507529
7.3,0.000456776
7.4,0.000411098
7.5,0.000369989
7.6,0.00033299
7.7,0.000299691
7.79999,0.000269722
7.89999,0.00024275
7.99999,0.000218475
8.09999,0.000196627
8.2,0.000176964
8.3,0.000159268
8.4,0.000143341
8.5,0.000129007
8.6,0.000116106
8.7,0.000104496
8.8,9.40461e-05
8.9,8.46415e-05
9,7.61774e-05
9.1,6.85596e-05
9.2,6.17037e-05
9.3,5.55333e-05
9.4,4.998e-05
9.5,4.4982e-05
9.6,4.04838e-05
9.7,3.64354e-05
9.8,3.27919e-05
9.9,2.95127e-05
10,2.65614e-05
10.1,2.39053e-05
10.2,2.15147e-05
10.3,1.93633e-05
10.4,1.74269e-05
10.5,1.56842e-05
10.6,1.41158e-05
10.7,1.27042e-05
10.8,1.14338e-05
10.9,1.02904e-05
11,9.26139e-06
11.1,8.33525e-06
11.2,7.50172e-06
11.3,6.75155e-06
11.4,6.0764e-06
11.5,5.46876e-06
11.6,4.92188e-06
11.7,4.42969e-06
11.8,3.98672e-06
11.9,3.58805e-06
12,3.22925e-06
12.1,2.90632e-06
12.2,2.61569e-06
12.3,2.35412e-06
12.4,2.11871e-06
12.5,1.90684e-06
12.6,1.71615e-06
12.7,1.54454e-06
12.8,1.39008e-06
12.9,1.25108e-06
13,1.12597e-06
13.1,1.01337e-06
13.2,9.12035e-07
13.3,8.20831e-07
13.4,7.38748e-07
13.5,6.64873e-07
13.6,5.98386e-07
13.7,5.38547e-07
13.8,4.84693e-07
13.9,4.36223e-07
14,3.92601e-07
14.1,3.53341e-07
14.2,3.18007e-07
14.3,2.86206e-07
14.4,2.57586e-07
14.5,2.31827e-07
14.6,2.08644e-07
14.7,1.8778e-07
14.8,1.69002e-07
14.9,1.52102e-07
15,1.36892e-07
15.1,1.23202e-07
15.2,1.10882e-07
15.3,9.97939e-08
15.4,8.98145e-08
15.5,8.08331e-08
15.6,7.27498e-08
15.7,6.54748e-08
15.8,5.89273e-08
15.9,5.30346e-08
16,4.77311e-08
16.1,4.2958e-08
16.2,3.86622e-08
16.3,3.4796e-08
16.4,3.13164e-08
16.5,2.81848e-08
16.6,2.53663e-08
16.7,2.28296e-08
16.8,2.05467e-08
16.9,1.8492e-08
17,1.66428e-08
17.1,1.49785e-08
17.2,1.34807e-08
17.3,1.21326e-08
17.4,1.09194e-08
17.5,9.82742e-09
17.6,8.84467e-09
17.7,7.96021e-09
17.8,7.16419e-09
17.9,6.44777e-09
18,5.80299e-09
18.1,5.22269e-09
18.2,4.70042e-09
18.3,4.23038e-09
18.4,3.80734e-09
18.5,3.42661e-09
18.6,3.08395e-09
18.7,2.77555e-09
18.8,2.498e-09
18.9,2.2482e-09
19,2.02338e-09
19.1,1.82104e-09
19.2,1.63894e-09
19.3,1.47504e-09
19.4,1.32754e-09
19.5,1.19478e-09
19.6,1.07531e-09
19.7,9.67775e-10
19.8,8.70998e-10
19.9,7.83898e-10
20,7.05508e-10
20.1,6.34957e-10
20.2,5.71462e-10
20.3,5.14315e-10
20.4,4.62884e-10
20.5,4.16596e-10
20.6,3.74936e-10
20.7,3.37442e-10
20.8,3.03698e-10
20.9,2.73328e-10
21,2.45996e-10
21.1,2.21396e-10
21.2,1.99256e-10
21.3,1.79331e-10
21.4,1.61398e-10
21.5,1.45258e-10
21.6,1.30732e-10
21.7,1.17659e-10
21.8,1.05893e-10
21.9,9.53037e-11
22,8.57733e-11
22.1,7.7196e-11
22.2,6.94764e-11
22.3,6.25288e-11
22.4,5.62759e-11
22.5,5.06483e-11
22.6,4.55835e-11
22.7001,4.10251e-11
22.8001,3.69226e-11
22.9001,3.32303e-11
23.0001,2.99073e-11
23.1001,2.69166e-11
23.2001,2.42249e-11
23.3001,2.18024e-11
23.4001,1.96222e-11
23.5001,1.766e-11
23.6001,1.5894e-11
23.7001,1.43046e-11
23.8001,1.28741e-11
23.9001,1.15867e-11
24.0001,1.0428e-11
24.1001,9.38523e-12
24.2001,8.44671e-12
24.3001,7.60204e-12
24.4001,6.84183e-12
24.5001,6.15765e-12
24.6001,5.54189e-12
24.7001,4.9877e-12
24.8001,4.48893e-12
24.9001,4.04003e-12
25.0001,3.63603e-12
